PCTIME	PHB	RECORD	DEM0	DEM1	DEM2	DEM3	PWR0	PWR1	PWR2	PWR3	RF POWER	FREQUENCY
859651	0	0	-12	6	-11	11	-62426	-70669	-57741	-53849	-40	-1.000000
859651	0	0	16	35	0	32	-62452	-70709	-57750	-53873	-40	-1.000000
859651	0	0	5	20	-21	18	-62420	-70692	-57767	-53824	-40	-1.000000
859651	0	0	5	18	-7	9	-62276	-70581	-57681	-53720	-40	-1.000000
859651	0	0	56	56	49	52	-62541	-70814	-57883	-53947	-40	-1.000000
859651	0	0	16	36	12	35	-62733	-71152	-58195	-54147	-40	-1.000000
859651	0	0	24	38	15	23	-62935	-71550	-58561	-54468	-40	-1.000000
859651	0	0	20	30	10	31	-62395	-70792	-57878	-53825	-40	-1.000000
859651	0	0	-1	16	-5	26	-62494	-70796	-57849	-53927	-40	-1.000000
859651	0	0	-14	-7	-18	8	-62493	-70769	-57821	-53892	-40	-1.000000
859651	0	0	3	11	0	16	-62372	-70704	-57804	-53781	-40	-1.000000
859651	0	0	2	12	-12	22	-62371	-70680	-57779	-53801	-40	-1.000000
859651	0	0	2	6	-5	14	-62353	-70659	-57773	-53809	-40	-1.000000
859651	0	0	-10	-3	-14	15	-62321	-70654	-57754	-53793	-40	-1.000000
859651	0	0	-4	1	-3	16	-62345	-70644	-57748	-53784	-40	-1.000000
859651	0	0	7	30	-8	16	-62250	-70529	-57626	-53700	-40	-1.000000
859651	0	0	19	23	10	29	-62327	-70637	-57721	-53779	-40	-1.000000
859651	0	0	21	29	1	26	-62332	-70626	-57717	-53765	-40	-1.000000
859651	0	0	13	22	1	21	-62305	-70613	-57694	-53739	-40	-1.000000
859651	0	0	32	40	17	50	-62393	-70701	-57763	-53815	-40	-1.000000
859651	0	0	18	24	13	34	-62266	-70561	-57674	-53707	-40	-1.000000
859651	0	0	22	32	17	31	-62234	-70511	-57633	-53662	-40	-1.000000
859651	0	0	5	20	-15	9	-62200	-70474	-57580	-53633	-40	-1.000000
859651	0	0	26	25	21	28	-62244	-70545	-57635	-53675	-40	-1.000000
859651	0	0	19	28	9	19	-62195	-70489	-57587	-53642	-40	-1.000000
626	0	0	6	32	-7	30	-62144	-70429	-57529	-53597	-40	-1.000000
626	0	0	12	10	7	19	-62194	-70477	-57593	-53643	-40	-1.000000
626	0	0	11	5	0	14	-62197	-70490	-57582	-53630	-40	-1.000000
626	0	0	13	29	-4	19	-62221	-70500	-57609	-53654	-40	-1.000000
626	0	0	5	23	3	27	-62132	-70408	-57528	-53569	-40	-1.000000
626	0	0	14	28	5	31	-62202	-70475	-57598	-53640	-40	-1.000000
626	0	0	14	23	1	28	-62228	-70502	-57600	-53661	-40	-1.000000
626	0	0	22	24	16	31	-62226	-70498	-57601	-53672	-40	-1.000000
626	0	0	6	14	0	19	-62275	-70569	-57664	-53716	-40	-1.000000
626	0	0	12	16	1	13	-62257	-70528	-57645	-53704	-40	-1.000000
626	0	0	16	24	5	28	-62235	-70507	-57618	-53676	-40	-1.000000
626	0	0	12	10	13	19	-62314	-70631	-57691	-53746	-40	-1.000000
626	0	0	15	20	-6	18	-62237	-70570	-57635	-53675	-40	-1.000000
626	0	0	16	27	-2	29	-62232	-70520	-57642	-53647	-40	-1.000000
626	0	0	8	17	1	31	-62442	-70861	-57965	-53847	-40	-1.000000
626	0	0	0	5	-10	15	-62177	-70496	-57615	-53636	-40	-1.000000
626	0	0	-14	2	-24	5	-62134	-70402	-57550	-53566	-40	-1.000000
626	0	0	0	4	-7	20	-62272	-70605	-57722	-53713	-40	-1.000000
626	0	0	9	11	-4	16	-62314	-70715	-57822	-53761	-40	-1.000000
626	0	0	8	16	-3	20	-62253	-70603	-57689	-53682	-40	-1.000000
626	0	0	16	27	6	17	-62173	-70460	-57605	-53613	-40	-1.000000
626	0	0	18	35	-1	20	-62216	-70549	-57676	-53667	-40	-1.000000
626	0	0	19	24	5	16	-62388	-70780	-57868	-53806	-40	-1.000000
626	0	0	-2	27	-13	22	-62451	-70846	-57951	-53860	-40	-1.000000
626	0	0	16	17	-4	8	-62180	-70419	-57536	-53603	-40	-1.000000
1620	0	0	-1	2	-7	8	-62161	-70426	-57547	-53614	-40	-1.000000
1620	0	0	-5	13	-10	27	-62220	-70500	-57577	-53652	-40	-1.000000
1620	0	0	9	6	-3	9	-62193	-70436	-57553	-53619	-40	-1.000000
1620	0	0	17	21	17	25	-62198	-70462	-57560	-53633	-40	-1.000000
1620	0	0	26	31	15	29	-62161	-70429	-57520	-53600	-40	-1.000000
1620	0	0	7	23	5	33	-62243	-70501	-57609	-53660	-40	-1.000000
1620	0	0	1	8	8	27	-62178	-70444	-57557	-53622	-40	-1.000000
1620	0	0	9	11	4	22	-62116	-70353	-57492	-53567	-40	-1.000000
1620	0	0	16	22	6	25	-62216	-70481	-57592	-53656	-40	-1.000000
1620	0	0	20	28	8	37	-62225	-70484	-57605	-53665	-40	-1.000000
